2017-02-04 20:48:16  
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16                  ---- LaserWeb Comm Server ----                
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16   Use  http://192.168.14.100:8000 to connect this server.
2017-02-04 20:48:16  
2017-02-04 20:48:16 * Updates: 
2017-02-04 20:48:16   Remember to check the commit log on
2017-02-04 20:48:16   https://github.com/LaserWeb/lw.comm-server/commits/master
2017-02-04 20:48:16   regularly, to know about updates and fixes, and then when ready
2017-02-04 20:48:16   update accordingly by running git pull
2017-02-04 20:48:16  
2017-02-04 20:48:16 * Support: 
2017-02-04 20:48:16   If you need help / support, come over to 
2017-02-04 20:48:16   https://plus.google.com/communities/115879488566665599508
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16  
2017-02-04 20:48:22 App connected!
2017-02-04 20:48:23 INFO: Connecting to USB,COM4,115200
2017-02-04 20:48:23 INFO: Connected to COM4 at 115200
2017-02-04 20:48:23 Smoothieware detected (edge-d792543, Thu Dec 15 2016)
2017-02-04 20:49:36 Run Job (3739845)
2017-02-04 20:50:07 Done: 34617 of 236483 (ave. 1154 lines/s)
2017-02-04 20:50:07 Done: 35118 of 236483 (ave. 1133 lines/s)
2017-02-04 20:50:08 Done: 35619 of 236483 (ave. 1149 lines/s)
2017-02-04 20:50:08 Done: 36121 of 236483 (ave. 1165 lines/s)
2017-02-04 20:50:09 Done: 36622 of 236483 (ave. 1144 lines/s)
2017-02-04 20:50:09 Done: 37124 of 236483 (ave. 1160 lines/s)
2017-02-04 20:50:10 Done: 37625 of 236483 (ave. 1140 lines/s)
2017-02-04 20:50:10 Done: 38127 of 236483 (ave. 1155 lines/s)
2017-02-04 20:50:11 Done: 38628 of 236483 (ave. 1136 lines/s)
2017-02-04 20:50:11 Done: 39128 of 236483 (ave. 1151 lines/s)
2017-02-04 20:50:11 Done: 39630 of 236483 (ave. 1132 lines/s)
2017-02-04 20:50:12 Done: 40132 of 236483 (ave. 1147 lines/s)
2017-02-04 20:50:12 Done: 40634 of 236483 (ave. 1161 lines/s)
2017-02-04 20:50:13 Done: 41136 of 236483 (ave. 1143 lines/s)
2017-02-04 20:50:13 Done: 41638 of 236483 (ave. 1157 lines/s)
2017-02-04 20:50:14 Done: 42139 of 236483 (ave. 1139 lines/s)
2017-02-04 20:50:14 Done: 42643 of 236483 (ave. 1153 lines/s)
2017-02-04 20:50:14 Done: 43146 of 236483 (ave. 1135 lines/s)
2017-02-04 20:50:15 Done: 43647 of 236483 (ave. 1149 lines/s)
2017-02-04 20:50:15 Done: 44149 of 236483 (ave. 1162 lines/s)
2017-02-04 20:50:16 Done: 44650 of 236483 (ave. 1145 lines/s)
2017-02-04 20:50:16 Done: 45153 of 236483 (ave. 1158 lines/s)
2017-02-04 20:50:17 Done: 45654 of 236483 (ave. 1141 lines/s)
2017-02-04 20:50:17 Done: 46156 of 236483 (ave. 1154 lines/s)
2017-02-04 20:50:18 Done: 46657 of 236483 (ave. 1138 lines/s)
2017-02-04 20:50:18 Done: 47157 of 236483 (ave. 1150 lines/s)
2017-02-04 20:50:18 Done: 47658 of 236483 (ave. 1162 lines/s)
